Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
Q1422-md188 27.4 9999.0 26.47 0.17 25.21 0.13 23.59 0.04 22.78 0.1 22.5 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.562
Q1422-md189 27.94 0.92 26.02 0.13 24.48 0.1 24.77 0.14 9999.0 9999.0 23.42 0.27 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.917
Q1422-md198 27.54 0.46 26.43 0.13 24.59 0.14 24.5 0.08 9999.0 9999.0 23.81 0.41 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.839
Q1422-md202 26.65 0.41 24.88 0.1 24.2 0.1 23.09 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.696
Q1422-md204 28.15 0.85 26.72 0.18 25.85 0.2 25.99 0.33 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.819
Q1422-md206 26.94 0.43 25.37 0.1 24.49 0.1 23.69 0.06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.789
Q1422-md209 27.44 9999.0 25.72 0.14 24.58 0.1 23.54 0.04 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.372
Q1422-md213 26.53 0.35 24.56 0.1 23.76 0.1 23.32 0.05 24.42 0.36 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.591
Q1422-md216 27.22 0.61 25.26 0.1 24.84 0.1 23.87 0.08 23.87 0.32 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.973
Q1422-md219 26.07 0.22 24.54 0.1 24.22 0.1 27.54 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.696
Q1422-md24 26.5 0.3 25.01 0.1 24.69 0.1 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.793
Q1422-md30 26.14 0.27 24.61 0.1 24.05 0.1 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.969
Q1422-md31 25.94 0.2 24.77 0.1 24.23 0.1 129.84 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.604
Q1422-md34 26.59 0.42 24.99 0.1 24.04 0.1 130.81 9999.0 9999.0 9999.0 22.0 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.683
Q1422-md36 27.24 0.49 25.66 0.1 25.5 0.16 129.83 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.799
Q1422-md40 27.65 9999.0 26.7 0.22 25.12 0.14 123.7 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.07
Q1422-md41 25.63 0.18 24.26 0.1 23.87 0.1 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.635
Q1422-md42 27.66 9999.0 26.96 0.21 26.22 0.25 128.41 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.817
Q1422-md44 26.89 0.41 25.4 0.1 24.69 0.1 119.89 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.575
Q1422-md45 27.94 0.9 26.42 0.18 25.17 0.14 114.37 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.047
Q1422-md52 26.23 0.34 24.71 0.1 23.79 0.1 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.717
Q1422-md53 26.46 0.28 25.02 0.1 24.54 0.1 133.43 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.634
Q1422-md55 26.98 0.49 25.1 0.1 24.49 0.1 100.35 9999.0 9999.0 9999.0 22.3 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.633
Q1422-md61 27.23 0.28 26.33 0.1 25.22 0.17 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.576
Q1422-md68 28.09 0.99 26.19 0.14 25.24 0.12 99.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.803
Q1422-md77 27.8 1.0 25.93 0.15 24.53 0.1 94.01 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.965
Q1422-md78 25.35 0.16 24.12 0.1 23.51 0.1 75.4 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.682
Q1422-md85 26.39 0.22 25.21 0.1 25.15 0.11 57.22 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.547
Q1422-md90 26.38 0.29 24.83 0.1 24.43 0.1 23.95 0.09 22.66 0.16 23.11 0.24 9999.0 9999.0 24.18 0.05 23.89 0.05 2.739
Q1422-md92 27.25 9999.0 26.61 0.17 25.12 0.17 99.0 9999.0 9999.0 9999.0 23.87 0.41 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.135
Q1422-md96 28.9 0.69 27.65 0.18 26.06 0.28 27.01 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.849
Q1422-oC50 27.29 0.65 25.7 0.12 24.56 0.11 99.0 9999.0 21.71 0.1 21.64 0.1 21.3 0.29 9999.0 9999.0 9999.0 9999.0 3.085
Q1422-oMD38 27.53 9999.0 26.48 0.22 25.32 0.12 99.0 9999.0 9999.0 9999.0 23.14 0.25 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.04
