Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err f814w f814w_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
DSF2237b-MM30 27.38 9999.0 27.18 0.65 25.72 0.14 26.34 0.81 24.97 0.29 23.45 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.482
DSF2237b-MM40 27.63 9999.0 26.51 0.37 25.31 0.08 25.34 0.34 9999.0 9999.0 23.62 0.1 9999.0 9999.0 23.37 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.064
DSF2237b-MM7 27.1 9999.0 26.52 0.36 25.42 0.1 25.57 0.41 24.55 0.13 23.79 0.1 9999.0 9999.0 24.0 0.25 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.556
DSF2237b-MMD146 27.28 0.68 25.88 0.16 25.93 0.13 25.89 0.43 24.72 0.1 23.98 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.63 0.1 24.3 0.1 2.286
DSF2237b-MMD147 27.5 1.01 26.38 0.34 25.59 0.12 25.61 0.45 24.71 0.15 24.44 0.12 9999.0 9999.0 23.49 0.15 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.283
DSF2237b-MMD23 27.59 9999.0 26.42 0.38 25.6 0.12 25.94 0.66 25.59 0.46 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.932
DSF2237b-MMD40 26.51 0.49 25.43 0.15 25.29 0.1 25.23 0.34 24.21 0.1 24.39 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.396
DSF2237b-MMD43 27.11 9999.0 26.57 0.37 25.87 0.13 24.98 0.23 22.23 0.1 21.46 0.1 9999.0 9999.0 20.28 0.1 9999.0 9999.0 22.33 0.1 21.83 0.1 2.437
DSF2237b-MMD56 27.04 0.71 25.45 0.15 25.2 0.08 25.75 0.55 25.09 0.19 23.85 0.1 9999.0 9999.0 23.6 0.28 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.375
DSF2237b-MMD65 25.97 0.3 24.87 0.1 24.79 0.06 24.94 0.27 24.4 0.11 24.11 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.89 0.1 24.49 0.1 2.3
DSF2237b-MMD68 27.07 9999.0 26.37 0.32 25.8 0.13 26.26 0.77 23.66 0.1 23.18 0.1 9999.0 9999.0 22.28 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.066
DSF2237b-MMD75 26.41 0.4 25.19 0.13 25.1 0.08 25.2 0.34 24.18 0.1 23.17 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.5
